full_name,gender,type,party,birthday,yrs,age
Tommy Tuberville,M,Senate,Rep,1954-09-18,66,60s
John W. Hickenlooper,M,Senate,Dem,1952-02-07,69,60s
Bill Hagerty,M,Senate,Rep,1959-08-14,61,60s
Jerry L. Carl,M,House,Rep,1958-06-17,63,60s
Barry Moore,M,House,Rep,1966-09-26,54,50s
Jay Obernolte,M,House,Rep,1970-08-18,50,50s
Young Kim,F,House,Rep,1962-10-18,58,50s
Michelle Steel,F,House,Rep,1955-06-21,66,60s
Sara Jacobs,F,House,Dem,1989-02-01,32,30s
Lauren Boebert,F,House,Rep,1986-12-15,34,30s
Kat Cammack,F,House,Rep,1988-02-16,33,30s
C. Scott Franklin,M,House,Rep,1964-08-23,56,50s
Byron Donalds,M,House,Rep,1978-10-28,42,40s
Carlos A. Gimenez,M,House,Rep,1954-01-17,67,60s
Maria Elvira Salazar,M,House,Rep,1961-11-01,59,50s
Nikema Williams,F,House,Dem,1978-07-30,42,40s
Carolyn Bourdeaux,F,House,Dem,1970-06-03,51,50s
Andrew S. Clyde,M,House,Rep,1963-11-22,57,50s
Marjorie Taylor Greene,F,House,Rep,1974-05-27,47,40s
Kaiali’i Kahele,M,House,Dem,1974-03-28,47,40s
Ashley Hinson,F,House,Rep,1983-06-27,38,30s
Mariannette Miller-Meeks,F,House,Rep,1955-09-06,65,60s
Randy Feenstra,M,House,Rep,1969-01-14,52,50s
Marie Newman,F,House,Dem,1964-04-13,57,50s
Mary E. Miller,F,House,Rep,1959-08-27,61,60s
Frank J. Mrvan,M,House,Dem,1969-04-16,52,50s
Victoria Spartz,F,House,Rep,1978-10-06,42,40s
Tracey Mann,M,House,Rep,1976-12-17,44,40s
Jake LaTurner,M,House,Rep,1988-02-17,33,30s
Jake Auchincloss,M,House,Dem,1988-01-29,33,30s
Peter Meijer,M,House,Rep,1988-01-10,33,30s
Lisa C. McClain,F,House,Rep,1966-04-07,55,50s
Michelle Fischbach,F,House,Rep,1965-11-03,55,50s
Cori Bush,F,House,Dem,1976-07-21,44,40s
Matthew M. Rosendale,M,House,Rep,1960-07-07,60,60s
Deborah K. Ross,F,House,Dem,1963-06-20,58,50s
Kathy E. Manning,F,House,Dem,1956-12-03,64,60s
Madison Cawthorn,M,House,Rep,1995-08-01,25,20s
Yvette Herrell,F,House,Rep,1964-03-16,57,50s
Teresa Leger Fernandez,F,House,Dem,1959-07-01,62,60s
Andrew R. Garbarino,M,House,Rep,1984-09-27,36,30s
Nicole Malliotakis,F,House,Rep,1980-11-11,40,40s
Ritchie Torres,M,House,Dem,1988-03-12,33,30s
Jamaal Bowman,M,House,Dem,1976-04-01,45,40s
Mondaire Jones,M,House,Dem,1987-05-18,34,30s
Stephanie I. Bice,F,House,Rep,1973-11-11,47,40s
Cliff Bentz,M,House,Rep,1952-01-12,69,60s
Nancy Mace,F,House,Rep,1977-12-04,43,40s
Diana Harshbarger,F,House,Rep,1960-01-01,61,60s
Pat Fallon,M,House,Rep,1967-12-19,53,50s
August Pfluger,M,House,Rep,1978-12-28,42,40s
Ronny Jackson,M,House,Rep,1967-05-04,54,50s
Troy E. Nehls,M,House,Rep,1968-04-07,53,50s
Tony Gonzales,M,House,Rep,1980-10-10,40,40s
Beth Van Duyne,F,House,Rep,1970-11-16,50,50s
Blake D. Moore,M,House,Rep,1980-06-22,41,40s
Burgess Owens,M,House,Rep,1951-08-02,69,60s
Bob Good,M,House,Rep,1965-09-11,55,50s
Marilyn Strickland,F,House,Dem,1962-09-25,58,50s
Scott Fitzgerald,M,House,Rep,1963-11-16,57,50s
Alex Padilla,M,Senate,Dem,1973-03-22,48,40s
Jon Ossoff,M,Senate,Dem,1987-02-16,34,30s
Raphael G. Warnock,M,Senate,Dem,1969-07-23,51,50s
Claudia Tenney,F,House,Rep,1961-02-04,60,60s
Julia Letlow,F,House,Rep,1981-03-16,40,40s
Troy A. Carter,M,House,Dem,1963-10-26,57,50s
NA,F,House,Dem,1979-01-31,42,40s
